key,KZ,RU,EN
unknown_error,Белгісіз қате,Неизвестная ошибка,Unknown error
unauthorized,Құқығы жоқ,Нет доступа,Unauthorized
wrong_mlstring_format,Мәтіндің түрі дұрыс емес,Неверный формат текста,Wrong mlstring format
uuid_invalid_length,UUID ұзындығы дұрыс емес,Неверная длина UUID,UUID invalid length
empty_password,Құпия сөз бос,Пароль пустой,Empty password
password_too_short,Құпия сөз ұзындығы тым қысқа,Пароль слишком короткий,Password too short
password_too_long,Құпия сөз ұзындығы тым ұзын,Пароль слишком длинный,Password too long
invalid_email,Email дұрыс емес,Неверный email,Invalid email
articles_title_is_empty,Мақала тақырыбы бос,Заголовок статьи пуст,Article title is empty
articles_title_is_too_long,Мақаланың тақырыбы тым ұзын,Заголовок статьи слишком длинный,Article title is too long
articles_content_is_empty,Мақаланың мазмұны бос,Содержимое статьи пустое,Article content is empty
name_of_contact_or_social_is_empty,Контакт немесе социалдық ақпараттың аты бос,Название контакта или социальной сети пустое,Name of contact or social is empty
first_name_is_empty,Аты бос,Имя пустое,First name is empty
last_name_is_empty,Тегі бос,Фамилия пустая,Last name is empty
bio_is_empty,Биография бос,Биография пустая,Bio is empty
title_of_book_is_empty,Кітаптың атауы бос,Название книги пустое,Book title is empty
author_of_book_is_empty,Кітаптың авторы бос,Автор книги пустой,Author of book is empty
name_of_project_is_empty,Проекттің аты бос,Название проекта пустое,Name of project is empty
user_agent_is_empty,User agent бос,User agent пустой,User agent is empty
user_with_this_email_not_found,Бұндай email-мен пайдаланушы табылмады,Пользователь с таким email не найден,User with this email not found
user_password_invalid,Құпия сөз дұрыс емес,Неверный пароль,User password invalid
user_agent_invalid,User agent дұрыс емес,Неверный user agent,User agent invalid
user_already_authorized,Пайдаланушы құқығы бар,Пользователь уже авторизован,User already authorized
user_role_invalid,Пайдаланушы рөлі дұрыс емес,Неверная роль пользователя,User role invalid
user_is_not_admin,Пайдаланушы администратор емес,Пользователь не администратор,User is not admin
